id,type.number,type.label
n01,2,Input
n02,2,Input
n03,2,Input
n04,2,Input
n05,2,Input
n06,2,Input
n07,2,Input
n08,2,Input
n09,2,Input
n10,2,Input
n11,2,Input
n12,2,Input
n13,2,Input
n14,2,Input
n15,2,Input
n16,2,Input
n17,2,Input
n18,2,Input
n19,2,Input
n20,2,Input
n21,2,Input
n22,2,Input
n23,2,Input
n24,2,Input
n25,2,Input
n26,1,Bias
n27,3,Regular
n28,3,Regular
n29,3,Regular
n30,3,Regular
n31,3,Regular
n32,3,Regular
n33,3,Regular
n34,3,Regular
n35,3,Regular
n36,3,Regular
n37,3,Regular
n38,3,Regular
n39,1,Bias
n40,4,Output
n41,4,Output
n42,4,Output
n43,4,Output
n44,4,Output
n45,1,Bias
